text,sentiment
You dare trap me like this,5 stars
"Jambhvan, you freed her?",1 star
"You think you've won,",1 star
foolish vaanar?,1 star
You have no idea,5 stars
what my brother will do to you,5 stars
Ravan will pick his teeth,4 stars
"with your bones,",5 stars
while he crushes Ram's head,2 stars
under his foot,2 stars
Ravan will kill you...,5 stars
Silence!,1 star
Your hideous voice,1 star
shall never be heard again,1 star
The power of this cave,5 stars
is mine to wield again,5 stars
Now I will make you suffer,5 stars
for what you have done to me,5 stars
"You will die in terror, monster",5 stars
You dare!,5 stars
Sometimes we have no choice,3 stars
"but to take a life,",3 stars
but to show mercy,3 stars
takes even greater strength,5 stars
"Wise words, young vaanar",5 stars
Thank you,5 stars
I learned them from a friend,4 stars
Anger is an emotion I have not felt,1 star
in many lifetimes,5 stars
Today you stopped me,1 star
from succumbing to it,1 star
Can you help him?,5 stars
The demon's poison,5 stars
has corrupted him too much,2 stars
I don't know if I can help now,3 stars
Please. Please try,1 star
It's not working,1 star
We have to keep trying!,5 stars
Angad,3 stars
"Angad! Arise, my brother, arise!",1 star
Hanuman?,1 star
"It is good to have you back,",4 stars
my friend!,5 stars
"We are ready, Lady Swayamprabha",5 stars
"As I said, while I do not know",4 stars
"where Princess Sita is being held,",4 stars
this portal will save you weeks of travel,5 stars
and take you to the coast,5 stars
She was heading there,3 stars
when Ravan took her,1 star
"Thank you, Lady Swayamprabha",5 stars
I only wish I could do more,3 stars
"If I may ask,",3 stars
what will happen to Shurpanakha?,1 star
"She will remain here,",5 stars
away from harming the world,5 stars
I will make sure she sees justice,4 stars
for what she did to your friend Hariya,4 stars
"Well, ""friend"" is a bit much",3 stars
Traitor!,1 star
"Yes, but he has been punished",3 stars
for his part in this,4 stars
"Let's go, you two",1 star
"Old bear, a word",5 stars
"Old bear, really?",2 stars
You're probably at least five times my age,3 stars
"Yes, but I don't look it",3 stars
"Women don't age, kind sir",3 stars
You saved Angad,1 star
"For that, I will always be in your debt",3 stars
"You're wrong, Jambhvan",1 star
I didn't save Angad; Hanuman did,3 stars
Hanuman's power has been reawakened,4 stars
It's time he learns the truth,5 stars
To know the truth of such power,5 stars
comes with a heavy weight,3 stars
Yes. Power without compassion,5 stars
means nothing. He reminded me of that,1 star
Yes. He has changed,3 stars
since we left Kishkindha,5 stars
Perhaps it is finally time,3 stars
"Safe journey, old bear",5 stars
"As for you, demon",5 stars
Your punishment will be to watch,5 stars
Hanuman bring,5 stars
your brother's empire down,1 star
and to see Ram reunite,5 stars
"with his one true love, Princess Sita",5 stars
"Where are you, Princess Sita?",1 star
O Princess Sita,5 stars
Sita... Sita...,2 stars
do you?,1 star
Just sit down and listen,1 star
What's slowing you down?,1 star
and no sign of my mango!,1 star
you are an ordinary vaanar?,1 star
"Nirvani, where are you going?",1 star
"Nal, what happened?",1 star
just before we left.,1 star
There are dangerous people about.,1 star
I have never tasted this much power,1 star
be unbearable. We're stuck here anyway,1 star
Stop him! Hariya is behind this,1 star
Please! Before he comes back.,1 star
"No, my Lord. I swear it.",1 star
empty-handed as well?,1 star
and steal from everyone,1 star
you put the lives of our soldiers at risk?,1 star
Do you have anything else left,1 star
A rakshas like this rarely enters,1 star
No! There's a strength,1 star
No kingdom will prosper under a king,1 star
Fled all the way to the nearby kingdom,1 star
Don't go! Come back!,1 star
"Nirvani, where were you?",1 star
The demon tricked me,1 star
and fouling their yagnas,1 star
This is a creature unfamiliar to us,1 star
This is no longer the reign of Vaali,1 star
Nirvani! Nirvani!,1 star
I broke my word. This was the only way,1 star
What? Impossible,1 star
I broke my word. This was the only way,1 star
Jatayu!,1 star
We won't return! We won't go back!,1 star
"Angad! Arise, my brother, arise!",1 star
Then why didn't you tell him?,1 star
he'll be nothing.,1 star
"Even if we were to continue, we don't",1 star
He's been infected by Patal magic,1 star
They were banished,1 star
How can I make Ravan feel my pain?,1 star
my friend?,1 star
"Please, he is only a child.",1 star
Not something solved,1 star
Where are we?,1 star
Jatayu! Jatayu!,1 star
You should have stayed in hiding,1 star
We apologise if we have disturbed,1 star
you put the lives of our soldiers at risk?,1 star
They terrorized the holy men,1 star
Sugreev was furious at their failure,1 star
of thousands should be a burden.,1 star
I learned that she trapped,1 star
Stop! Stop saying her name!,1 star
I don't understand. He screams at nothing,1 star
Remember what?,1 star
Jatayu!,1 star
"You want my strength, demon?",1 star
Hanuman?,1 star
"No, brother.",1 star
"Why, Ram, why?",1 star
Speak before I rip your tongue off,1 star
What's happened to him?,1 star
and you will hear one word,1 star
"Father, you already exiled him.",1 star
Did the demon curse me?,1 star
Stolen from my home last night,1 star
You mean swim?,1 star
doomed to fail.,1 star
"Now, get back.",1 star
- Leave it!,1 star
Hanuman. We can never truly repay you,1 star
The cave's magic won't let us leave,1 star
I don't ask for mercy,1 star
and no creature from Swarg,1 star
I said let him go!,1 star
I won't release them,1 star
in Kishkindha anymore.,1 star
What? This worked earlier!,1 star
I told you I had no choice,1 star
Please forgive him.,1 star
Maybe they have nothing to do,1 star
of hollow existence,1 star
Please. Please try,1 star
It's all so unbelievable,1 star
The poison that infected him,1 star
means nothing. He reminded me of that,1 star
"Ravan slew your brother,",1 star
Enough! We are not here,1 star
He would never return.,1 star
Please shoot the arrow.,1 star
We are not welcome,1 star
What?,1 star
If there's anything we do worse,1 star
I never touched your stinking...,1 star
Vayu,1 star
even if you tried,1 star
There must be something,1 star
"Oh, no!",1 star
a three-month delay,1 star
corrupting what was pure,1 star
against Ram and Lakshman,1 star
and was killed for his mistake,1 star
He could not let Mayavi destroy,1 star
What if Hanuman returns,1 star
"When we returned, Sita was gone.",1 star
Apart from the hair!,1 star
Nal! Nil!,1 star
Not emptiness. Guilt.,1 star
I see terror,1 star
"Brother, where are you? Nal!",1 star
There are voices all crying out!,1 star
and was killed for his mistake,1 star
"Stop mothering me, you old bear!",1 star
"I see no gold, or treasures, or gifts.",1 star
then there is no hope,1 star
I failed at being a good king,1 star
What happened in the forest?,1 star
And we may never be able to find,1 star
That is all,1 star
Get away from him!,1 star
"We were trapped within this tree,",1 star
No!,1 star
No!,1 star
The leap is nothing to you,1 star
"One day, Sita spotted",1 star
"even using magic, but nothing works",1 star
What?,1 star
"Yet, even 14,000 rakshasas",1 star
You are an insolent one,1 star
and save yourselves,1 star
Release me!,1 star
"Then, Hanuman and Angad...",1 star
Help him?,1 star
from the kingdom of Ravan?,1 star
and his wrath was terrible to behold,1 star
Hanuman? Who is where?,1 star
the truth about Hanuman?,1 star
punish me instead,1 star
Vayu,1 star
Nirvani! Nirvani!,1 star
Jatayu?,1 star
Get away!,1 star
Do you accept this mission?,1 star
Or you?,1 star
Hanuman would never have believed me,1 star
No. Of course not.,1 star
Apart from the hair!,1 star
then all hope is lost,1 star
The pain! Stop!,1 star
Whose name is the very scream,1 star
No!,1 star
The pain! Stop!,1 star
even louder?,1 star
Stop! Stop saying her name!,1 star
"No, not a god, my Lord",1 star
Forgive my deception.,1 star
Where are you?,1 star
Then who am I? What am I?,1 star
"On hearing this boon, Lord Brahma,",1 star
It isn't. No one else has heard of you,1 star
changed anything if I did.,1 star
It's not working,1 star
The cave's magic won't let us leave,1 star
"Why, Ram, why?",1 star
Then why haven't you?,1 star
that this quest is lost,1 star
He's been cursed,1 star
Something is wrong with you,1 star
turned their backs on you?,1 star
"Stop mothering me, you old bear!",1 star
Who brought outsiders into our home?,1 star
Why hasn't Prince Ram released his arrow?,1 star
"Hey, wait up! Don't leave me behind!",1 star
He totally crushed you,1 star
What?,1 star
No... no. Not at all.,1 star
It can't be over. No...,1 star
has been sorely misplaced,1 star
Your hideous voice,1 star
What? How can this be happening?,1 star
I nearly passed out!,1 star
"I show you nothing, my son, except",1 star
I said let him go!,1 star
I never intended for you to be one,1 star
"were also so loyal, so inseparable.",1 star
No... no,1 star
"We were trapped within this tree,",1 star
I was sorry to hear,1 star
Prince Ram granted Sugreev,1 star
Do you want me to give you my word?,1 star
- Leave it!,1 star
be unbearable. We're stuck here anyway,1 star
"the wind god, Vayu, carried them away",1 star
easily pushed aside,1 star
Then you're a fool,1 star
You have been banished.,1 star
It can't be over. No...,1 star
Who's there?,1 star
We need to turn back and throw ourselves,1 star
You mean swim?,1 star
If he had not been mercilessly killed,1 star
Where are you?,1 star
Why did you even return?,1 star
whose heart is corrupt.,1 star
How could I do any less?,1 star
The evil is retaking him,1 star
Message?,1 star
How can you say that? Isn't mother,1 star
You... No...,1 star
Did the demon curse me?,1 star
"he stood unmoving,",1 star
"Angad! Arise, my brother, arise!",1 star
So came the terrible Mayavi,1 star
The evil is too strong. You'll die,1 star
"I am a vaanar, but my name is...",1 star
"Jambhvan, you freed her?",1 star
Get away!,1 star
This is Jatayu's brother?,1 star
named Kabandha,1 star
whose heart is corrupt.,1 star
"I can't absorb this much, please!",1 star
destroying their homes,1 star
"When we returned, Sita was gone.",1 star
than to live trapped,1 star
if there ever was one.,1 star
The curse is finally broken!,1 star
- Leave it!,1 star
be angry at me,1 star
How could I stand by helplessly?,1 star
This was my only chance. Please help me!,1 star
from him or Prince Angad since they left,1 star
"I see no gold, or treasures, or gifts.",1 star
Did the demon curse me?,1 star
Traitor!,1 star
turned their backs on you?,1 star
it flew away,1 star
corrupting what was pure,1 star
What's happening?,1 star
A rakshas like this rarely enters,1 star
I never intended for you to be one,1 star
My King?,1 star
You had to be stopped,1 star
There was then just one,1 star
What? A guava?,1 star
One creature he overlooked,1 star
Jatayu!,1 star
A cry?,1 star
Where is he?,1 star
yet who can stop him?,1 star
Has Hanuman returned?,1 star
lying in the dirt?,1 star
Hanuman. We can never truly repay you,1 star
husband?,1 star
How could I do any less?,1 star
That's impossible,1 star
Did the demon curse me?,1 star
Why do you show me such things?,1 star
didn't you?,1 star
#NAME?,1 star
"Except my revenge, everything!",1 star
I had no choice!,1 star
Who... who are these vaanars?,1 star
and drove him away from the cave,1 star
We will starve!,1 star
"When we returned, Sita was gone.",1 star
The evil is retaking him,1 star
Why hasn't Prince Ram released his arrow?,1 star
You come as envoys of Ram?,1 star
He chilled my blood.,1 star
Ram. Ram,1 star
"I have failed,",1 star
You... No...,1 star
This is a creature unfamiliar to us,1 star
"On this, I swear.",1 star
I can't! There is no cure,1 star
Let me go. Save yourselves,1 star
No kingdom will prosper under a king,1 star
Someone unshakeable.,1 star
King Sugreev promised to uphold his oath,1 star
Your fists won't help you here,1 star
he cannot do such harm.,1 star
Jatayu!,1 star
Stop him!,1 star
Won't you?,1 star
"Get away from me, you buffoon!",1 star
How did this happen?,1 star
Guilt because you think,1 star
"Uncle, that's where you're wrong",1 star
our lives are forfeit,1 star
Once again?,1 star
You waste such power,1 star
to strangle Vaali with my own bare hands,1 star
I don't know. I don't know!,1 star
Hanuman is fool and a dangerous one.,1 star
Why do you keep us here?,1 star
"When you returned,",1 star
"What happened next, Your Majesty?",1 star
Release me!,1 star
Returning home,1 star
- Release me!,1 star
"He cannot rule himself, so what hope",1 star
are going to stop Hanuman?,1 star
"Please, without his powers,",1 star
into pieces. Easy!,1 star
who sent two warriors,1 star
Vaali.,1 star
"If you too fell to evil,",1 star
and your vaanars will be forfeit.,1 star
Don't touch it,1 star
"I hurried back,",1 star
I say this is madness,1 star
What is it?,1 star
How did this happen?,1 star
"Don't be proud, boy. Let me help.",1 star
"Where are you, brother?",1 star
shall never be heard again,1 star
No. I forbid you from helping him,1 star
Look over there.,1 star
Stop him!,1 star
"Now they are few. Exiled, hunted.",1 star
from the kingdom of Ravan?,1 star
We will be worse than cowards!,1 star
We're trapped here,1 star
"The other generals have all returned, Ram",1 star
Ram's love for his wife was boundless,1 star
I see terror,1 star
"On this, I swear.",1 star
"You should go back into hiding, uncle.",1 star
The cave's magic won't let us leave,1 star
Where is he?,1 star
went to the fearsome asuras,1 star
do you?,1 star
or they would pay for their failure,1 star
are you?,1 star
"On this, I swear.",1 star
"Hey, wait up! Don't leave me behind!",1 star
How bad is it?,1 star
"at the top, Nil",1 star
we would never have entered Rikshabila,1 star
What's going on?,1 star
of terror,1 star
Vaali!,1 star
Fail me and your death,1 star
"I cannot reach you, Jatayu",1 star
"You want my strength, demon?",1 star
A tyrant to your own people,1 star
Did you know he could do that?,1 star
Start over! What say you?,1 star
Lady Swayamprabha?,1 star
"You think you can stop me, human?",1 star
You don't make requests of me,1 star
And now what? You wish mercy from us?,1 star
Today you stopped me,1 star
Hanuman? Who is where?,1 star
Lady Swayamprabha?,1 star
You have returned!,1 star
was tricked by Ravan,1 star
Then you have not broken any oath,1 star
Then hurry. We must save Angad,1 star
No. That's what I'll be doing to you,1 star
came to an end,1 star
"Isn't it, friend?",1 star
Why did you even return?,1 star
from turning into something...,1 star
Are you done?,1 star
for your failure?,1 star
Just sit down and listen,1 star
Then why haven't you?,1 star
Love?,1 star
"without my power, you have no hope",1 star
"Nothing could exist without her,",1 star
"Then, Hanuman and Angad...",1 star
No!,1 star
Are you prepared to pay it?,1 star
and she swore,1 star
"If we're to save her,",1 star
It's a painful story.,1 star
I broke my word. This was the only way,1 star
Who's there?,1 star
How could I do any less?,1 star
"Who are you, human?",1 star
or Patal could ever kill him,1 star
Where is everyone?,1 star
You are neither gods nor saviours.,1 star
We do not whip our own.,1 star
Do you want me to give you my word?,1 star
I never wanted to go on this quest.,1 star
"forget all his powers,",1 star
"I'm sorry, my friends",1 star
I have never tasted this much power,1 star
Then you have not broken any oath,1 star
I called you both fools.,1 star
Whose name is the very scream,1 star
Please!,1 star
What problem?,1 star
Those two warriors,1 star
That's a mango,1 star
I don't ask for mercy,1 star
Why?,1 star
Promise me you will not intervene,1 star
You come as envoys of Ram?,1 star
I don't care!,1 star
"Oh, no. She'll find me",1 star
This is Jambhvan,1 star
It's Hanuman?,1 star
in Kishkindha anymore.,1 star
How could I stand by helplessly?,1 star
What's happening to him?,1 star
and became trapped,1 star
I can't.,1 star
She was carried away,1 star
"Wait, son! Listen...",1 star
Do you represent Ram of Ayodhya?,1 star
"It will not kill,",1 star
of thousands should be a burden.,1 star
What is it?,1 star
"Why must Angad always oppose me,",1 star
walking through such a dangerous place.,1 star
Sugreev was furious at their failure,1 star
I fear we have failed,1 star
Victory is rarely won,1 star
Remember what?,1 star
We believed Vaali had perished,1 star
What is your name?,1 star
Sad eyes? Did you say sad?,1 star
What's going on?,1 star
That's not a statue,1 star
"Eventually, Mayavi escaped underground,",1 star
"No, old bear, you have it wrong.",1 star
The leap is nothing to you,1 star
Don't call my brother a fool!,1 star
Hanuman?,1 star
"The demon said nothing,",1 star
He thought you were dead.,1 star
tell him I'm sorry,1 star
"She is unworthy of you, sweet Ram.",1 star
You... No...,1 star
"I cannot refuse your command,",1 star
"If we're to save her,",1 star
"One day, Sita spotted",1 star
"Yet, without you, he is doomed to fail",1 star
Stop it or I'll give you one.,1 star
What's happening?,1 star
and no creature from Swarg,1 star
"at the top, Nil",1 star
What? Why do you keep trying,1 star
What could two humans want here?,1 star
And there is nothing,1 star
"No, old bear, you have it wrong.",1 star
She was carried away,1 star
"No, not a god, my Lord",1 star
No. Not a dream. A memory,1 star
What? A smile?,1 star
Your wife? By whom?,1 star
There was nothing,1 star
We're taking a big risk,1 star
your lord to die today? No?,1 star
I was kidnapped,1 star
Nal! Nil! Move!,1 star
"No, dear lady.",1 star
What are you creatures?,1 star
It can't be over. No...,1 star
This is strange!,1 star
Are you prepared to pay it?,1 star
You... No...,1 star
Your wife? By whom?,1 star
No. They knew that one day,1 star
I have no excuse,1 star
Please stop.,1 star
"Do something, Nal!",1 star
I don't know. I don't know!,1 star
Who? Who are you?,1 star
"inside Rikshabila, Hariya?",1 star
What was that?,1 star
"I see no gold, or treasures, or gifts.",1 star
You have returned!,1 star
when Ravan took her,1 star
Of course you don't. Look at you.,1 star
to stop thinking about it.,1 star
No. I would never become,1 star
and abducted that pitiful Sita.,1 star
"Please, please forgive me, Lord",1 star
What truth?,1 star
Why does she have a statue of herself?,1 star
Why did you say that?,1 star
that we do not,1 star
King Dashrath of Ayodhya?,1 star
Did I ever tell you that there's a fight,1 star
I have been a disloyal friend,1 star
I failed at being a good king,1 star
You have returned!,1 star
to be flapping your lips.,1 star
on my belongings?,1 star
Cursed be his name,1 star
and fouling their yagnas,1 star
and no creature from Swarg,1 star
Hanuman?,1 star
#NAME?,1 star
There was nothing,1 star
Who knew monkeys could be this brave?,1 star
He's been infected by Patal magic,1 star
No human has set foot,1 star
I want only Ram.,1 star
A slap! Stop pulling my tail.,1 star
Anger is an emotion I have not felt,1 star
There is a terrible fight happening,1 star
A pain you can no longer feel yourself,1 star
"It will not kill,",1 star
Lady Swayamprabha?,1 star
We were so worried!,1 star
Stolen from my home last night,1 star
would mean death for everyone,1 star
I don't want to fight you.,1 star
"What wind, Hanuman? There is no wind",1 star
"Exiles, you mean!",1 star
"If it's you, Nil, I'll skin your hide!",1 star
Nirvani! Nirvani!,1 star
But the sage spared no one,1 star
Which is why I shall not stand by,1 star
Prince Ram granted Sugreev,1 star
"Leave me be, Hanuman.",1 star
Take it back! Take it all back!,1 star
Stand down. I don't want to hurt you,1 star
to death.,1 star
are going to stop Hanuman?,1 star
Look out!,1 star
There is a terrible fight happening,1 star
I crushed a stone to dust in my hands,1 star
young man?,1 star
Jatayu!,1 star
He's been cursed,1 star
I said let him go!,1 star
How bad is it?,1 star
of terror,1 star
Don't touch it,1 star
to scour this realm,1 star
the terrible creatures that not even,1 star
I am simply Ram.,1 star
I am afraid I come bearing bad news,1 star
and I shall rip and tear my way,1 star
I hate Sita as much as you.,1 star
and your vaanars will be forfeit.,1 star
Why won't you... Your right hand,1 star
came forth to rampage,1 star
Things have been hidden from you,1 star
foolish vaanar?,1 star
Hanuman?,1 star
walking through such a dangerous place.,1 star
Who?,1 star
I am not afraid. Are you?,1 star
I thought you hated him?,1 star
Mother planted in our yard?,1 star
I never touched your stinking...,1 star
Stand away from her! Now!,1 star
Tataka's foolish husband,1 star
"What is it that troubles you,",1 star
Prince Ram granted Sugreev,1 star
Why not? You people saved my life,1 star
I thought you hated him?,1 star
No... no. Not at all.,1 star
do not hate this human.,1 star
None of that was an act of honour.,1 star
with no allegiance to any man or king.,1 star
instead of me,1 star
I have bled with you,1 star
Why should I spare him?,1 star
he was not the only one to suffer,1 star
Aren't I?,1 star
Which is why I shall not stand by,1 star
Has Hanuman returned?,1 star
are you?,1 star
There are voices all crying out!,1 star
You! How did you get free?,1 star
What problem?,1 star
Countless valiant kings fell,1 star
"Look, brother, all the food's gone",1 star
All because of you,1 star
than righting one wrong.,1 star
What? A smile?,1 star
"No, our home is in Kishkindha",1 star
"First Vaali sends a naag assassin,",1 star
Our quest has failed,1 star
I failed at being a good king,1 star
Someone is making mischief,1 star
to be squandered,1 star
You... No...,1 star
and fouling their yagnas,1 star
changed anything if I did.,1 star
remained undiminished.,1 star
we would never have entered Rikshabila,1 star
We will starve!,1 star
We were so worried!,1 star
Why should I spare him?,1 star
#NAME?,1 star
your limitless potential,1 star
"Nothing could exist without her,",1 star
Hanuman?,1 star
I want only Ram.,1 star
His name...,1 star
"Yes, and why did it steal my mango?",1 star
"Her nose was missing, sliced off!",1 star
"The demon said nothing,",1 star
Where are you?,1 star
"Don't be proud, boy. Let me help.",1 star
are going to stop Hanuman?,1 star
Get lost! You'd better run,1 star
Had Ram only listened,1 star
If he had not been mercilessly killed,1 star
"Isn't it, friend?",1 star
"I never wanted to be king, Jambhvan.",1 star
I've sipped misery from my bowl,1 star
and no sign of my mango!,1 star
"without my power, you have no hope",1 star
What? I could never...,1 star
"Who shook the tree, you?",1 star
A cry?,1 star
"You misunderstand me, child",1 star
#NAME?,1 star
I tried to warn you.,1 star
We're trapped here,1 star
Are you really that different?,1 star
"My Lord, they are vagabonds",1 star
You have only 30 days.,1 star
"Wait, what? You...",1 star
turned their backs on you?,1 star
We need to turn back and throw ourselves,1 star
"Stop mothering me, you old bear!",1 star
You exiled your brother,1 star
"No, our home is in Kishkindha",1 star
Help him?,1 star
a vaanar before.,1 star
"No, not destroyed.",1 star
His dying words told us,1 star
I said let him go!,1 star
"That pasty, feeble thing?",1 star
empty-handed as well?,1 star
Leaving her alone and unguarded.,1 star
Has Hanuman returned?,1 star
I cannot let you just throw away your life...,1 star
"No, not destroyed.",1 star
She had never seen anything,1 star
if you had to kill me.,1 star
What's happened to Angad?,1 star
wasn't it?,1 star
That's impossible,1 star
Mistress?,1 star
Hanuman is fool and a dangerous one.,1 star
"You want my strength, demon?",1 star
and this is no place to go wandering about.,1 star
"inside you, old bear?",1 star
spare my men and let me die,1 star
"If you truly believe that,",1 star
No. I won't let it happen,1 star
Ram,1 star
Once again?,1 star
wasn't it?,1 star
"You must not meet them, Lord Sugreev.",1 star
Leave him alone!,1 star
I would die of shame.,1 star
She couldn't have done all this,1 star
Why are you doing this?,1 star
Why fight from the shadows?,1 star
What is this creature?,1 star
Don't call my brother a fool!,1 star
"and give up,",1 star
I've sipped misery from my bowl,1 star
"If you truly believe that,",1 star
Your hate for her cannot compare to mine.,1 star
"If you truly believe that,",1 star
against Vaali!,1 star
"You fool, that's your left hand",1 star
Why do you want to see him?,1 star
Look out!,1 star
Humans? Here?,1 star
You have returned!,1 star
walked past these same flowers,1 star
There are voices all crying out!,1 star
They sent you here? Why?,1 star
from the kingdom of Ravan?,1 star
To forgive is to set a prisoner free,1 star
We will be worse than cowards!,1 star
Are you hurt?,1 star
my friend?,1 star
You will release me!,1 star
Who's there?,1 star
and drove him away from the cave,1 star
Leave him alone!,1 star
"Her nose was missing, sliced off!",1 star
"Wait, Nal. What's that?",1 star
I forgot the debt I owed you,1 star
if you had to kill me.,1 star
How bad is it?,1 star
"You think you've won,",1 star
"He demanded that no god, no deva,",1 star
"Believe it or not,",1 star
Ram,1 star
"Where are you, Hariya?",1 star
My life has no meaning without Sita.,1 star
Start over! What say you?,1 star
Would you deny this humble servant,1 star
Leave my things alone.,1 star
that there was only one way,1 star
We shall wait,1 star
Such evil cannot be given,1 star
"What sort of talk is this? What are you,",1 star
Get away quickly!,1 star
We dare not attack.,1 star
snatched a portion for itself,1 star
Let's return to Rishyamukh,1 star
Nal! Nil!,1 star
Don't touch me!,1 star
Where is everyone?,1 star
The borders of Kishkindha are no place,1 star
the fearless Lakshman?,1 star
Her loss would be the greatest suffering,1 star
"No, not my right, you fool",1 star
Don't touch me!,1 star
"No, not a god, my Lord",1 star
instead of me,1 star
Steady yourself. This tempest has not come,1 star
What's wrong with him?,1 star
You exiled your brother,1 star
There was then just one,1 star
Never speak that name in my presence,1 star
empty-handed as well?,1 star
"She is unworthy of you, sweet Ram.",1 star
That is all,1 star
"even using magic, but nothing works",1 star
The borders of Kishkindha are no place,1 star
I want only Ram.,1 star
I don't know. I don't know!,1 star
"In Ayodhya, there is neither Prince",1 star
Why are you doing this?,1 star
I'm not,1 star
Why me? You are the older one,1 star
No... no,1 star
"Forget, child... forget.",1 star
before they bring destruction upon us.,1 star
my friend?,1 star
Who? Who are you?,1 star
What is this creature?,1 star
gave him invulnerability against all?,1 star
What is this creature?,1 star
"I never wanted to be king, Jambhvan.",1 star
I tell you we are doomed!,1 star
Fled all the way to the nearby kingdom,1 star
#NAME?,1 star
"You are not such a man, are you?",1 star
I see terror,1 star
Seen what?,1 star
"Wait? Since when are you scared,",1 star
are you?,1 star
"to only serve others,",1 star
Do you have anything else left,1 star
We need to turn back and throw ourselves,1 star
Those two warriors,1 star
for the cause of one human?,1 star
"Where are you, Hariya?",1 star
we would never have entered Rikshabila,1 star
You saved Angad,1 star
Hanuman is fool and a dangerous one.,1 star
Do you really believe that?,1 star
"Disregarded, forgotten, broken.",1 star
It's unfair to play against one,1 star
She didn't tell me anything!,1 star
There is one thing,1 star
"Hanuman, wait!",1 star
He thought you were dead.,1 star
"You're wrong, Father.",1 star
Why did you scream?,1 star
a vaanar before.,1 star
Where are you?,1 star
the truth about Hanuman?,1 star
"Days turned to weeks,",2 stars
Perhaps it fell off in the forest?,2 stars
I used to be much worse.,2 stars
And then...,2 stars
I don't understand.,2 stars
Sugreev? Ruler of the vaanars?,2 stars
with sadness in her eyes,2 stars
"I had a vision that you were coming,",2 stars
"that may destroy us.""",2 stars
"Days turned to weeks,",2 stars
Or... the day after?,2 stars
We will not see his kind again.,2 stars
would their lives be forfeit,2 stars
"Better they be destroyed,",2 stars
If Vaali lost...,2 stars
Dharini? Kandarpa?,2 stars
I don't understand,2 stars
two different interpretations.,2 stars
"Nal, I'd stop that if I were you.",2 stars
We searched the city but feared the worst,2 stars
"I mean, Jambhvan",2 stars
soon after,2 stars
"See, they're just vines,",2 stars
You're too valuable to me.,2 stars
Hardly even worth it,2 stars
Then a quarter to Sumitra,2 stars
even my tail is limp.,2 stars
Something...,2 stars
It might be poisonous,2 stars
then our delay would be,2 stars
with a garland wrapped around my neck?,2 stars
"He was too stubborn and I couldn't say no,",2 stars
since Sita vanished.,2 stars
on the same side for once.,2 stars
Not while I am your leader.,2 stars
She is too gentle a soul,2 stars
with Hanuman?,2 stars
"I mean, Jambhvan",2 stars
Perhaps it fell off in the forest?,2 stars
The reign of Vaali is over.,2 stars
Meant only for yours truly,2 stars
until he is dead at my feet.,2 stars
I thought they were merely legends,2 stars
and your voice only makes it worse,2 stars
and may soon be extinguished forever.,2 stars
I'm getting too old for this,2 stars
two different interpretations.,2 stars
I can't fight this for much longer,2 stars
My mace would snap,2 stars
"Angad, I would never!",2 stars
Did Shurpanakha do something to me?,2 stars
Forgive me... you are quite old.,2 stars
Sita... Sita...,2 stars
So much further,2 stars
When you are so much more,2 stars
"He was not raised to lead others,",2 stars
"Unhand me, Angad! He's about to...",2 stars
part of asura and rakshas ancestry?,2 stars
"Something's disturbing you,",2 stars
I used to be much worse.,2 stars
For Ram lost much that day,2 stars
high? Just a moment. I would've just...,2 stars
We don't have that kind of time,2 stars
"It's almost over, now",2 stars
high? Just a moment. I would've just...,2 stars
I can't fight this for much longer,2 stars
That is not for me to tell,2 stars
He does not know the ways of the world,2 stars
He'd already tucked his tail,2 stars
The wind's too loud!,2 stars
"Seeing drops falling,",2 stars
"Your memory is short, Hanuman.",2 stars
I almost put an arrow through you.,2 stars
We are so similar.,2 stars
if it wasn't for these heroes,2 stars
I would rather die,2 stars
"Wait, if they surround your entire kingdom",2 stars
would their lives be forfeit,2 stars
"No, more powerful than him",2 stars
He does not know the ways of the world,2 stars
He does not know the ways of the world,2 stars
It's too late,2 stars
I almost had him.,2 stars
It's over,2 stars
Vaali has been corrupted.,2 stars
"Seeing drops falling,",2 stars
"It's almost over, now",2 stars
I do believe it would have laughed itself,2 stars
There are those that will defy,2 stars
But they were already dead and gone,2 stars
"for too long, Hanuman",2 stars
That was Angad!,2 stars
But they were already dead and gone,2 stars
"I mean, Jambhvan",2 stars
It would tear out his heart.,2 stars
"for too long, Hanuman",2 stars
delayed the start of the search.,2 stars
I am getting too old for this.,2 stars
There is nothing to worry about.,2 stars
even my tail is limp.,2 stars
part of asura and rakshas ancestry?,2 stars
I am not fit to face her any more.,2 stars
"Days turned to weeks,",2 stars
"There are too many memories stirring,",2 stars
she'll be really upset,2 stars
"Jambhvan, keep an eye on those two",2 stars
"Something's wrong with me, Jambhvan",2 stars
"For a second, I thought his eyes...",2 stars
"Ravan's gifts are countless,",2 stars
I do believe it would have laughed itself,2 stars
But they were already dead and gone,2 stars
Suketu?,2 stars
Something...,2 stars
But they were already dead and gone,2 stars
I don't understand,2 stars
with sadness in her eyes,2 stars
since Sita vanished.,2 stars
The reign of Vaali is over.,2 stars
But no.,2 stars
growing?,2 stars
"So, they stole my powers?",2 stars
"Water is not our element, old bear",2 stars
It was not easy,2 stars
not across an entire ocean,2 stars
until he is dead at my feet.,2 stars
"If we don't do his bidding,",2 stars
He should have returned by now.,2 stars
delayed the start of the search.,2 stars
"I mean, Jambhvan",2 stars
It's over,2 stars
He can't handle the light.,2 stars
